---Resultados de clientes ejercicio 2a dispatcher round robin---
Cliente;Tiempo medio de servicio
Cliente5;0,00429244
Cliente2;0,00425133
Cliente1;0,00429474
Cliente29;0,00427314
Cliente27;0,00426785
Cliente22;0,00429901
Cliente20;0,0042886
Cliente15;0,00428827
Cliente4;0,00428476
Cliente7;0,00431296
Cliente6;0,00429658

Cliente23;0,00450011
Cliente20;0,00453614
Cliente16;0,00448941
Cliente26;0,00458189
Cliente2;0,00456576
Cliente0;0,00453864
Cliente6;0,00454365
Cliente14;0,0045373
Cliente5;0,00457433
Cliente19;0,00449511
Cliente7;0,00457395
Cliente31;0,00454231
Cliente11;0,00455487
Cliente12;0,00454234
Cliente21;0,00457076
Cliente3;0,00451946
Cliente13;0,0045577
Cliente27;0,00453164
Cliente24;0,00459613
Cliente10;0,00451347
Cliente33;0,00454984
Cliente8;0,00457311
Cliente22;0,00454445
Cliente4;0,00457778
Cliente32;0,00454864
Cliente28;0,00453135
Cliente29;0,00451477
Cliente18;0,00455417
Cliente9;0,00451913
Cliente30;0,00452236
Cliente15;0,00454287
Cliente17;0,00453073
Cliente1;0,00454699
Cliente25;0,00452602

Cliente35;0,00485052
Cliente31;0,00485342
Cliente34;0,00484491
Cliente2;0,00483799
Cliente10;0,00485237
Cliente14;0,00485336
Cliente4;0,00481307
Cliente23;0,00479915
Cliente30;0,00485172
Cliente0;0,00481873
Cliente26;0,00484469
Cliente13;0,00485576
Cliente9;0,00482989
Cliente16;0,00484099
Cliente17;0,00485769
Cliente7;0,00484131
Cliente15;0,00487725
Cliente33;0,00485018
Cliente6;0,00485341
Cliente21;0,00483351
Cliente24;0,00477109
Cliente32;0,00484696
Cliente11;0,00483939
Cliente18;0,00484946
Cliente20;0,00485045
Cliente3;0,00484419
Cliente29;0,00490794
Cliente25;0,00489315
Cliente1;0,00485197
Cliente22;0,00483753
Cliente8;0,00483645
Cliente5;0,00485485
Cliente27;0,00487002
Cliente12;0,0048384
Cliente28;0,00485876
Cliente19;0,00481571

Cliente23;0,00517842
Cliente17;0,00520446
Cliente27;0,00526302
Cliente3;0,00518814
Cliente1;0,0052703
Cliente15;0,00522705
Cliente18;0,00520299
Cliente20;0,00523632
Cliente5;0,00520742
Cliente21;0,00519783
Cliente10;0,00522531
Cliente26;0,00523045
Cliente36;0,00521639
Cliente8;0,00523087
Cliente12;0,0052522
Cliente7;0,00517335
Cliente11;0,00521111
Cliente9;0,00524394
Cliente16;0,00522308
Cliente0;0,00520865
Cliente28;0,00525559
Cliente2;0,00523963
Cliente34;0,00523118
Cliente37;0,00523151
Cliente6;0,0052153
Cliente19;0,00524041
Cliente35;0,0052243
Cliente29;0,00520609
Cliente22;0,00524102
Cliente25;0,00520972
Cliente32;0,00520635
Cliente24;0,00517264
Cliente31;0,00521392
